season,match_date,week_number,home_team,away_team,game_num,home,away,game_winner,forfeit
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,1,Antonio Cracchiolo,Skip Perry,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,2,Antonio Cracchiolo,Skip Perry,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,3,Antonio Cracchiolo,Skip Perry,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,4,Antonio Cracchiolo,Skip Perry,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,5,Antonio Cracchiolo,Skip Perry,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,6,Hector Ortega,Thayer McDougle,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,7,Hector Ortega,Thayer McDougle,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,8,Hector Ortega,Thayer McDougle,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,9,Hector Ortega,Thayer McDougle,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,10,Hector Ortega,Thayer McDougle,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,11,James Horsfall,Mike Leahy,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,12,James Horsfall,Mike Leahy,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,13,James Horsfall,Mike Leahy,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,14,Victor Ramos,Todd Emmel,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,15,Victor Ramos,Todd Emmel,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,16,Victor Ramos,Todd Emmel,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,17,Victor Ramos,Todd Emmel,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,18,Victor Ramos,Todd Emmel,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,19,Antonio Cracchiolo,Nick Lansdown,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,20,Antonio Cracchiolo,Nick Lansdown,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,21,Antonio Cracchiolo,Nick Lansdown,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,22,Antonio Cracchiolo,Nick Lansdown,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,23,Antonio Cracchiolo,Nick Lansdown,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,24,James Horsfall,Victor Ramos,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,25,James Horsfall,Victor Ramos,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,26,James Horsfall,Victor Ramos,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,27,James Horsfall,Victor Ramos,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,28,James Horsfall,Victor Ramos,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,29,Bobby Yulo,Mike Maxwell,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,30,Bobby Yulo,Mike Maxwell,home,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,31,Bobby Yulo,Mike Maxwell,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,32,Bobby Yulo,Mike Maxwell,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,33,Bobby Yulo,Mike Maxwell,away,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,34,,,,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,35,,,,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,36,,,,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,37,,,,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,38,,,,
Spring 2019,2019-06-24,75,Slate 8 Ball Spring 2019,Slate 8 Ball Spring 2019,39,,,,
