league,match_type,season,match_date,week_number,home_team,away_team,game_num,home,away,game_winner,forfeit,game_type
Other,tournament,Spring 2017,2016-06-01,75,,,1,Hector Ortega,Randy Leung,home,,
Other,tournament,Spring 2017,2016-06-01,75,,,2,Hector Ortega,Randy Leung,home,,
Other,tournament,Spring 2017,2016-06-01,75,,,3,Randy Leung,﻿Kornpipat Setthakorn,home,,
Other,tournament,Spring 2017,2016-06-01,75,,,4,Randy Leung,﻿Kornpipat Setthakorn,home,,
Other,tournament,Spring 2017,2016-06-01,75,,,5,Hector Ortega,Randy Leung,home,,
Other,tournament,Spring 2017,2016-06-01,75,,,6,Hector Ortega,Randy Leung,home,,
Other,tournament,Spring 2017,2016-06-01,75,,,7,Randy Leung,﻿Kornpipat Setthakorn,home,,
Other,tournament,Spring 2017,2016-06-01,75,,,8,Randy Leung,﻿Kornpipat Setthakorn,home,,
